text_form	form	lemma	pos
եւ	եւ	եւ	I+Conj
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
որ	որ	որ	PRO+Rel
բուսանի,	բուսանի	բուսանիմ	V
ցամաքեցուցանեմք	ցամաքեցուցանեմք	ցամաքեցուցանեմ	V
զնա․	զնա	զ@նա (նա)	I+Prep@PRO+Dem
եւ	եւ	եւ	I+Conj
կամ	կամ	կամ (եւ)	I+Conj
փուշն	փուշն	փուշ@ն	N+Com@PRO+Dem
իցեմք	իցեմք	եմ	V
հեղձուցանող	հեղձուցանող	հեղձուցանող	N+Com
բանի։	բանի	բան	N+Com
Եւ	եւ	եւ	I+Conj
խնդրեմ	խնդրեմ	խնդրեմ	V
ի	ի	ի	I+Prep
քէն,	քէն	դու	PRO+Per2s
թո՛ղ	թող	թողում	V
ինձ	ինձ	ես	PRO+Per1s
Տերամբ,	տերամբ	տեր	N+Com
եւ	եւ	եւ	I+Conj
աղաւթեա՛	աղաւթեա	աղաւթեմ	V
վասն	վասն	վասն	I+Prep
իմոց	իմոց	իմ	PRO+Pos1s
յանցանաց․	յանցանաց	յանցանք	N+Com
զի	զի	զի	I+Conj
գնամք	գնամք	գնամ	V
ընդ	ընդ	ընդ	I+Prep
ծով	ծով	ծով	N+Com
լի	լի	լի	A
հողմով	հողմով	հողմ	N+Com
եւ	եւ	եւ	I+Conj
ալեաւք,	ալեաւք	ալիք	N+Com
եւ	եւ	եւ	I+Conj
տարակուսիմ	տարակուսիմ	տարակուսեմ	V
պատերազմել	պատերազմել	պատերազմիմ	V
ընդդէմ	ընդդեմ	ընդդէմ	I+AdvPr
գիտութեան	գիտութեան	գիտութիւն	N+Com
եւ	եւ	եւ	I+Conj
հաւատոյ,	հաւատոյ	հաւատ	N+Com
տեսանելով	տեսանելով	տեսանեմ	V
զչարն։	զչարն	զ@չար@ն	I+Prep@A@PRO+Dem
Եւ	եւ	եւ	I+Conj
Տէրն	տէրն	տէր@ն	N+Com@PRO+Dem
ննջէ,	ննջէ	ննջեմ	V
եւ	եւ	եւ	I+Conj
միտք	միտք	միտ	N+Com
մեր	մեր	մեք	PRO+Per1p
չէ	չէ	ոչ@եմ	I+Neg@V
արթուն․	արթուն	արթուն	A
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
ոք	ոք	ոք	PRO+Ind
է	է	եմ	V
որ	որ	որ	PRO+Rel
առաքինութեամբ	առաքինութեամբ	առաքինութիւն	N+Com
յարուցանէ	յարուցանէ	յարուցանեմ	V
զնա։	զնա	զ@նա (նա)	I+Prep@PRO+Dem
Եւ	եւ	եւ	I+Conj
վիշապն	վիշապն	վիշապ@ն	N+Com@PRO+Dem
փախուցեալ՝	փախուցեալ	փախուցանեմ	V
զայրացեալ	զայրացեալ	զայրանամ	V
է	է	եմ	V
մեզ․	մեզ	մեք	PRO+Per1p
եւ	եւ	եւ	I+Conj
երբեմն	երբեմն	երբեմն	I+Adv
տտամբն	տտամբն	տուտն@ն	N+Com@PRO+Dem
հարկանէ,	հարկանէ	հարկանեմ	V
եւ	եւ	եւ	I+Conj
երբեմն	երբեմն	երբեմն	I+Adv
ատամամբք	ատամամբք	ատամն	N+Com
խածանէ․	խածանէ	խածանեմ	V
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
է	է	եմ	V
կարող	կարող	կարող	A
ոք	ոք	ոք	PRO+Ind
սպանանել	սպանանել	սպանանեմ	V
զնա,	զնա	զ@նա (նա)	I+Prep@PRO+Dem
բայց	բայց	բայց	I+Conj
արհամարհանաւք	արհամարհանաւք	արհամարհանք	N+Com
կերակրոց	կերակրոց	կերակուր	N+Com
եւ	եւ	եւ	I+Conj
ընչից	ընչից	ինչ (ընչից)	N+Com
եւ	եւ	եւ	I+Conj
փառաց	փառաց	փառք	N+Com
աշխարհի․	աշխարհի	աշխարհ	N+Com
զի	զի	զի	I+Conj
սոքաւք	սոքաւք	սա	PRO+Dem
կենդանանայ	կենդանանայ	կենդանանամ	V
չարն,	չարն	չար@ն	A@PRO+Dem
եւ	եւ	եւ	I+Conj
զաւրանայ	զաւրանայ	զաւրանամ	V
սպանեալն	սպանեալն	սպանանեմ@ն	V@PRO+Dem
ի	ի	ի	I+Prep
սրբոց։	սրբոց	սուրբ	A
Նա	նա	նա (նա)	PRO+Dem
որ	որ	որ	PRO+Rel
զերիս	զերիս	զ@երեք	I+Prep@NUM+Car
փորձութիւնս	փորձութիւնս	փորձութիւն	N+Com
մատոյց	մատոյց	մատուցանեմ	V
Տեառն	տեառն	տէր	N+Com
մերոյ,	մերոյ	մեր	PRO+Pos1p
զքարինսն՝	զքարինսն	զ@քար@ն	I+Prep@N+Com@PRO+Dem
հաց	հաց	հաց	N+Com
հայցեաց,	հայցեաց	հայցեմ	V
եւ	եւ	եւ	I+Conj
զաշխարհս	զաշխարհս	զ@աշխարհ@ս	I+Prep@N+Com@PRO+Dem
տալ	տալ	տամ	V
խոստացաւ,	խոստացաւ	խոստանամ	V
եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
արժանի	արժանի	արժանի	A
ես	ես	եմ	V
բառնալ	բառնալ	բառնամ	V
ի	ի	ի	I+Prep
թեւոց	թեւոց	թեւ	N+Com
հրեշտակաց	հրեշտակաց	հրեշտակ	N+Com
ասէր,	ասէր	ասեմ	V
վկայելով	վկայելով	վկայեմ	V
ի	ի	ի	I+Prep
բանից	բանից	բան	N+Com
Հոգւոյն,	հոգւոյն	հոգի@ն	N+Com@PRO+Dem
թէ	թէ	եթե	I+Conj
արժան	արժան	արժան	A
է	է	եմ	V
սպասաւորիլ	սպասաւորիլ	սպասաւորեմ	V
ի	ի	ի	I+Prep
հրեշտակաց։	հրեշտակաց	հրեշտակ	N+Com
Եւ	եւ	եւ	I+Conj
ո՞վ	ով	ո՞	PRO+Int
է	է	եմ	V
բաւական	բաւական	բաւական	A
ընդդիմանալ	ընդդիմանալ	ընդդիմանամ	V
նմա․	նմա	նա (նա)	PRO+Dem
ո՞վ	ով	ո՞	PRO+Int
իցէ	իցէ	եմ	V
Դանիէլ	դանիէլ	Դանիէլ	N+Ant
եւ	եւ	եւ	I+Conj
աւգնիցի	աւգնիցի	աւգնեմ	V
ի	ի	ի	I+Prep
սրբոյն	սրբոյն	սուրբ@ն	A@PRO+Dem
Գաբրիէլէ,	գաբրիէլէ	Գաբրիէլ	N+Ant
եւ	եւ	եւ	I+Conj
արասցէ	արասցէ	առնեմ	V
գնդակս	գնդակս	գնդակ	A
ի	ի	ի	I+Prep
ճարպոյ	ճարպոյ	ճարպ	N+Com
եւ	եւ	եւ	I+Conj
ի	ի	ի	I+Prep
ձիւթոյ	ձիւթոյ	ձիւթ	N+Com
եւ	եւ	եւ	I+Conj
ի	ի	ի	I+Prep
մազոյ,	մազոյ	մազ	N+Com
առ	առ	առ (ի)	I+Prep
ի	ի	ի	I+Prep
հերձուլ	հերձուլ	հերձում	V
զվիշապն։	զվիշապն	զ@վիշապ@ն	I+Prep@N+Com@PRO+Dem
Իսկ	իսկ	իսկ	I+Conj
ես	ես	ես	PRO+Per1s
ոչ	ոչ	ոչ	I+Neg
բաւականանամ,	բաւականանամ	բաւականանամ	V
զի	զի	զի	I+Conj
յաղթեցայ	յաղթեցայ	յաղթեմ	V
ի	ի	ի	I+Prep
նմանէ,	նմանէ	նա (նա)	PRO+Dem
բայց	բայց	բայց	I+Conj
զնաւն	զնաւն	զ@նաւ@ն	I+Prep@N+Com@PRO+Dem
աւանդեցի	աւանդեցի	աւանդեմ	V
նաւապետին,	նաւապետին	նաւապետ@ն	N+Com@PRO+Dem
զի	զի	զի	I+Conj
մի՛	մի	մի (ոչ)	I+Neg
լիցի	լիցի	լինիմ	V
մեզ	մեզ	մեք	PRO+Per1p
յոք	յոք	ի@ոք	I+Prep@PRO+Ind
վստահութիւն,	վստահութիւն	վստահութիւն	N+Com
բայց	բայց	բայց	I+Conj
յԱստուած	յաստուած	ի@աստուած	I+Prep@N+Com
միայն,	միայն	միայն	A
որ	որ	որ	PRO+Rel
սաստէ	սաստէ	սաստեմ	V
հողմոյն,	հողմոյն	հողմ@ն	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
հրաման	հրաման	հրաման	N+Com
տայ	տայ	տամ	V
ծովուն,	ծովուն	ծով@ն	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
ընդունի՝	ընդունի	ընդունիմ	V
որք	որք	որ	PRO+Rel
ի	ի	ի	I+Prep
նաւին	նաւին	նաւ@ն	N+Com@PRO+Dem
են՝	են	եմ	V
յերկիր	յերկիր	ի@երկիր	I+Prep@N+Com
կամաց	կամաց	կամ (կամաց)	N+Com
իւրոց։	իւրոց	իւր (իւրոց)	PRO+Pos3
Զոր	զոր	զ@որ	I+Prep@PRO+Rel
հայցեմք	հայցեմք	հայցեմ	V
միշտ	միշտ	միշտ	I+Adv
եւ	եւ	եւ	I+Conj
աղաչեմ	աղաչեմ	աղաչեմ	V
զորդեակդ	զորդեակդ	զ@որդեակ@դ	I+Prep@N+Com@PRO+Dem
քո	քո	դու	PRO+Per2s
զԵդեսիոս,	զեդեսիոս	զ@Եդեսիոս	I+Prep@N+Ant
որ	որ	որ	PRO+Rel
է	է	եմ	V
եղբայր	եղբայր	եղբայր	N+Com
իմ	իմ	ես	PRO+Per1s
ի	ի	ի	I+Prep
Տէր․	տէր	տէր	N+Com
զի	զի	զի	I+Conj
նեղեսցէ	նեղեսցէ	նեղեմ	V
զմարմին	զմարմին	զ@մարմին	I+Prep@N+Com
իւր	իւր	իւր (իւրեանց)	PRO+Ref
աղաւթիւք	աղաւթիւք	աղաւթք	N+Com
եւ	եւ	եւ	I+Conj
պահաւք	պահաւք	պահ	N+Com
եւ	եւ	եւ	I+Conj
տքնութեամբ,	տքնութեամբ	տքնութիւն	N+Com
զի	զի	զի	I+Conj
նոքաւք	նոքաւք	նա (նա)	PRO+Dem
բժշկի	բժշկի	բժշկեմ	V
ցանկական	ցանկական	ցանկական	A
մասն	մասն	մասն	N+Com
հոգւոյն․	հոգւոյն	հոգի@ն	N+Com@PRO+Dem
զի	զի	զի	I+Conj
մի՛	մի	մի (ոչ)	I+Neg
լիցի	լիցի	լինիմ	V
ընդունող	ընդունող	ընդունող	N+Com
գարշելի	գարշելի	գարշելի	A
խորհրդոց	խորհրդոց	խորհուրդ	N+Com
եւ	եւ	եւ	I+Conj
չարութեանց,	չարութեանց	չարութիւն	N+Com
եւ	եւ	եւ	I+Conj
լինի	լինի	լինիմ	V
վարժող	վարժող	վարժող	N+Com
բարկութեան	բարկութեան	բարկութիւն	N+Com
իւրոյ,	իւրոյ	իւր (իւրոց)	PRO+Pos3
որ	որ	որ	PRO+Rel
է	է	եմ	V
Յուդա,	յուդա	Յուդա	N+Ant
որ	որ	որ	PRO+Rel
դիւացն	դիւացն	դեւ@ն	N+Com@PRO+Dem
մատնէ	մատնէ	մատնեմ	V
զմիտսն։	զմիտսն	զ@միտ@ն	I+Prep@N+Com@PRO+Dem
Եւ	եւ	եւ	I+Conj
հրահանգել	հրահանգել	հրահանգեմ	V
խոնարհութեամբ	խոնարհութեամբ	խոնարհութիւն	N+Com
եւ	եւ	եւ	I+Conj
երկայնմտութեամբ	երկայնմտութեամբ	երկայնմտութիւն	N+Com
եւ	եւ	եւ	I+Conj
ողորմութեամբ,	ողորմութեամբ	ողորմութիւն	N+Com
յորոց	յորոց	ի@որ	I+Prep@PRO+Rel
ծնանի	ծնանի	ծնանիմ	V
սէրն	սէրն	սէր@ն	N+Com@PRO+Dem
որով	որով	որ	PRO+Rel
երեւին	երեւին	երեւիմ	V
աշակերտքն	աշակերտքն	աշակերտ@ն	N+Com@PRO+Dem
Քրիստոսի․	քրիստոսի	Քրիստոս	N+Ant
եւ	եւ	եւ	I+Conj
լինի	լինի	լինիմ	V
յաւժարամիտ	յաւժարամիտ	յաւժարամիտ	A
կարդացման	կարդացման	կարդացումն	A
Գրոց,	գրոց	գիր	N+Com
զի	զի	զի	I+Conj
վկայեն	վկայեն	վկայեմ	V
Գիրք,	գիրք	գիր	N+Com
եթէ	եթէ	եթե	I+Conj
ոչ	ոչ	ոչ	I+Neg
փրկիչ	փրկիչ	փրկիչ	N+Com
միայն	միայն	միայն	A
է	է	եմ	V
Քրիստոս	քրիստոս	Քրիստոս	N+Ant
աշխարհի,	աշխարհի	աշխարհ	N+Com
այլ	այլ	այլ (եւ)	I+Conj
եւ	եւ	եւ	I+Conj
արարող	արարող	արարող	N+Com
աշխարհաց․	աշխարհաց	աշխարհ	N+Com
եւ	եւ	եւ	I+Conj
ունի	ունի	ունիմ	V
խնամ	խնամ	խնամ	N+Com
ի	ի	ի	I+Prep
վերայ	վերայ	վերայ	I+Adv
նոցա։	նոցա	նա (նա)	PRO+Dem
Եւ	եւ	եւ	I+Conj
այս	այս	այս (սա)	PRO+Dem
բաւական	բաւական	բաւական	A
է	է	եմ	V
առ	առ	առ (ի)	I+Prep
որդիս	որդիս	որդի	N+Com
քո․	քո	դու	PRO+Per2s
ո՛ղջ	ողջ	ողջ	A
լիցի։	լիցի	լինիմ	V
Առնդ	առնդ	այր (արանց)@դ	N+Com@PRO+Dem
Աստուծոյ՝	աստուծոյ	աստուած	N+Com
որ	որ	որ	PRO+Rel
սպասաւորէ	սպասաւորէ	սպասաւորեմ	V
Քրիստոսի,	քրիստոսի	Քրիստոս	N+Ant
զի	զի	զի	I+Conj
յոյժ	յոյժ	յոյժ	I+Adv
մխիթարութիւն	մխիթարութիւն	մխիթարութիւն	N+Com
ետ	ետ	տամ	V
մեզ	մեզ	մեք	PRO+Per1p
ի	ի	ի	I+Prep
Քրիստոս	քրիստոս	Քրիստոս	N+Ant
յանապատիդ․	յանապատիդ	ի@անապատ@դ	I+Prep@A@PRO+Dem
յանձնեմ	յանձնեմ	յանձնեմ	V
զքեզ	զքեզ	զ@դու	I+Prep@PRO+Per2s
յայրդ	յայրդ	ի@այր (արանց)@դ	I+Prep@N+Com@PRO+Dem
կատարեալ	կատարեալ	կատարեմ	V
ի	ի	ի	I+Prep
տեսողդ	տեսողդ	տեսող@դ	N+Com@PRO+Dem
Յովհաննէս․	յովհաննէս	Յովհաննէս	N+Ant
աղաչեմ	աղաչեմ	աղաչեմ	V
զքեզ	զքեզ	զ@դու	I+Prep@PRO+Per2s
խոնարհել	խոնարհել	խոնարհեմ	V
քեզ	քեզ	դու	PRO+Per2s
ընդ	ընդ	ընդ	I+Prep
ձեռամբ	ձեռամբ	ձեռն	N+Com
դորա,	դորա	դա	PRO+Dem
որպէս	որպէս	որպէս	I+Conj
եւ	եւ	եւ	I+Conj
խոստացայ	խոստացայ	խոստանամ	V
նմա,	նմա	նա (նա)	PRO+Dem
եւ	եւ	եւ	I+Conj
ինքն	ինքն	ինքն	PRO+Ref
կալաւ	կալաւ	ունիմ	V
յանձին	յանձին	ի@անձն	I+Prep@N+Com
յաւժարութեամբ։	յաւժարութեամբ	յաւժարութիւն	N+Com
Մելինէ	մելինէ	Մելինէ	N+Ant
Եօթներորդ	եօթներորդ	եօթներորդ	NUM+Ord
Ոչ	ոչ	ոչ	I+Neg
եթէ	եթէ	եթե	I+Conj
իբրեւ	իբրեւ	իբրեւ	I+Conj
զարդար	զարդար	զ@արդար	I+Prep@A
դնեմ	դնեմ	դնեմ	V
զհոգիս	զհոգիս	զ@հոգի@ս	I+Prep@N+Com@PRO+Dem
իմ	իմ	ես	PRO+Per1s
առաջի,	առաջի	առաջի	I+AdvPr
զի	զի	զի	I+Conj
լցեալ	լցեալ	լնում	V
է	է	եմ	V
անաւրէնութեամբ․	անաւրէնութեամբ	անաւրէնութիւն	N+Com
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
իբրեւ	իբրեւ	իբրեւ	I+Conj
առ	առ	առ (ի)	I+Prep
արարիչ	արարիչ	արարիչ	N+Com
համարձակիմ․	համարձակիմ	համարձակեմ	V
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
գիտեմ	գիտեմ	գիտեմ	V
զբանս	զբանս	զ@բան	I+Prep@N+Com
իմ՝	իմ	ես	PRO+Per1s
թէ	թէ	եթե	I+Conj
հոգեւոր	հոգեւոր	հոգեւոր	A
իցէ։	իցէ	եմ	V
Տկար	տկար	տկար	A
եմ,	եմ	եմ	V
եւ	եւ	եւ	I+Conj
բանալ	բանալ	բանամ	V
զգլուխ	զգլուխ	զ@գլուխ	I+Prep@N+Com
իմ	իմ	ես	PRO+Per1s
ոչ	ոչ	ոչ	I+Neg
բաւեմ	բաւեմ	բաւեմ	V
աղաւթել։	աղաւթել	աղաւթեմ	V
Բարձեալ	բարձեալ	բառնամ	V
եմ	եմ	եմ	V
զպատկեր	զպատկեր	զ@պատկեր	I+Prep@N+Com
աշխարհիս,	աշխարհիս	աշխարհ@ս	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
ի	ի	ի	I+Prep
ժամ	ժամ	ժամ	N+Com
աղաւթիցն	աղաւթիցն	աղաւթք@ն	N+Com@PRO+Dem
ընդ	ընդ	ընդ	I+Prep
սմա	սմա	սա	PRO+Dem
եմ․	եմ	եմ	V
եւ	եւ	եւ	I+Conj
խոստանամ	խոստանամ	խոստանամ	V
հեռանալ	հեռանալ	հեռանամ	V
ի	ի	ի	I+Prep
սմանէ,	սմանէ	սա	PRO+Dem
եւ	եւ	եւ	I+Conj
մտաւք	մտաւք	միտ	N+Com
իմովք	իմովք	իմ	PRO+Pos1s
ոչ	ոչ	ոչ	I+Neg
դադարեմ	դադարեմ	դադարեմ	V
ի	ի	ի	I+Prep
շրջել	շրջել	շրջեմ	V
ընդ	ընդ	ընդ	I+Prep
դրունս	դրունս	դուռն	N+Com
մարդկան․	մարդկան	մարդիկ	N+Com
եւ	եւ	եւ	I+Conj
զամենայն	զամենայն	զ@ամենայն	I+Prep@PRO+Ind
քաղաքս	քաղաքս	քաղաք	N+Com
որոնեմ՝	որոնեմ	որոնեմ	V
թէ	թէ	եթե	I+Conj
ո՛րպէս	որպէս	որպէս	I+Conj
գտից	գտից	գտանեմ	V
վաճառ	վաճառ	վաճառ	N+Com
սնափառութեան։	սնափառութեան	սնափառութիւն	N+Com
Եւ	եւ	եւ	I+Conj
այս	այս	այս (սա)	PRO+Dem
բաւական	բաւական	բաւական	A
է	է	եմ	V
վասն	վասն	վասն	I+Prep
Ղազարու,	ղազարու	Ղազար	N+Ant
զոր	զոր	զ@որ	I+Prep@PRO+Rel
ասացերն,	ասացերն	ասեմ@ն	V@PRO+Dem
թէ	թէ	եթե	I+Conj
կայ	կայ	կամ (կալ)	V
ի	ի	ի	I+Prep
գիրկս	գիրկս	գիրկ	N+Com
ծոցոյ	ծոցոյ	ծոց	N+Com
գիտութեանն	գիտութեանն	գիտութիւն@ն	N+Com@PRO+Dem
Աբրահամու։	աբրահամու	Աբրահամ	N+Ant
Զկամս	զկամս	զ@կամ (կամաց)	I+Prep@N+Com
սպասաւորութեան	սպասաւորութեան	սպասաւորութիւն	N+Com
ասորոց	ասորոց	Ասորի	A
գովեցեր,	գովեցեր	գովեմ	V
եւ	եւ	եւ	I+Conj
ես	ես	ես	PRO+Per1s
գործոց	գործոց	գործ	N+Com
նոցա	նոցա	նա (նա)	PRO+Dem
ոչ	ոչ	ոչ	I+Neg
կարեմ	կարեմ	կարեմ	V
ժամանել․	ժամանել	ժամանեմ	V
չգիտեմ	չգիտեմ	ոչ@գիտեմ	I+Neg@V
թէ	թէ	եթե	I+Conj
որպէս	որպէս	որպէս	I+Conj
հասից	հասից	հասանեմ	V
ի	ի	ի	I+Prep
չափ	չափ	չափ	N+Com
առաքինութեան	առաքինութեան	առաքինութիւն	N+Com
նոցա՝	նոցա	նա (նա)	PRO+Dem
երկայն	երկայն	երկայն	A
ճանապարհաւս․	ճանապարհաւս	ճանապարհ@ս	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
ո՞րքան	որքան	որքան	A
զրկեցայ	զրկեցայ	զրկեմ	V
մնալովս	մնալովս	մնամ@ս	V@PRO+Dem
իմ	իմ	ես	PRO+Per1s
յաշխարհս	յաշխարհս	ի@աշխարհ	I+Prep@N+Com
Թրակացւոց,	թրակացւոց	Թրակացի	A
ոչ	ոչ	ոչ	I+Neg
եմ	եմ	եմ	V
բաւական	բաւական	բաւական	A
գրով	գրով	գիր	N+Com
հասուցանել	հասուցանել	հասուցանեմ	V
առ	առ	առ (ի)	I+Prep
քեզ։	քեզ	դու	PRO+Per2s
Այլ	այլ	այլ (եւ)	I+Conj
եւ	եւ	եւ	I+Conj
աղաչեմ	աղաչեմ	աղաչեմ	V
զքեզ՝	զքեզ	զ@դու	I+Prep@PRO+Per2s
արգելուլ	արգելուլ	արգելում	V
զայնոսիկ,	զայնոսիկ	զ@այն	I+Prep@PRO+Dem
որք	որք	որ	PRO+Rel
թողուն	թողուն	թողում	V
զաշխարհ,	զաշխարհ	զ@աշխարհ	I+Prep@N+Com
զշրջելն	զշրջելն	զ@շրջեմ@ն	I+Prep@V@PRO+Dem
նոցա	նոցա	նա (նա)	PRO+Dem
ընդ	ընդ	ընդ	I+Prep
աշխարհ՝	աշխարհ	աշխարհ	N+Com
դարձեալ	դարձեալ	դառնամ	V
առանց	առանց	առանց	I+Prep
վտանգի․	վտանգի	վտանգ	N+Com
եւ	եւ	եւ	I+Conj
զարմացայ	զարմացայ	զարմանամ	V
ընդ	ընդ	ընդ	I+Prep
յերկարութիւն	յերկարութիւն	յերկարութիւն	N+Com
ճանապարհիդ	ճանապարհիդ	ճանապարհ@դ	N+Com@PRO+Dem
քո․	քո	դու	PRO+Per2s
եւ	եւ	եւ	I+Conj
ես	ես	ես	PRO+Per1s
ոչ	ոչ	ոչ	I+Neg
ըմպեմ	ըմպեմ	ըմպեմ	V
զջուրն	զջուրն	զ@ջուր@ն	I+Prep@N+Com@PRO+Dem
Գեհոնի,	գեհոնի	Գեհոն	N+Top
բայց	բայց	բայց	I+Conj
խորհրդով	խորհրդով	խորհուրդ	N+Com
միայն	միայն	միայն	A
կամ	կամ	կամ (եւ)	I+Conj
մտաց	մտաց	միտ	N+Com
գործովք,	գործովք	գործ	N+Com
զի	զի	զի	I+Conj
հեռի	հեռի	հեռի	A
է	է	եմ	V
ի	ի	ի	I+Prep
զաւրութենէ	զաւրութենէ	զաւրութիւն	N+Com
իմոյ։	իմոյ	իմ	PRO+Pos1s
Եւագրեայ․	եւագրեայ	Եւագրիոս	N+Ant
Ութերորդ	ութերորդ	ութերորդ	NUM+Ord
Ոչ	ոչ	ոչ	I+Neg
գովութեամբ	գովութեամբ	գովութիւն	N+Com
կարեմ	կարեմ	կարեմ	V
արգելուլ,	արգելուլ	արգելում	V
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
բամբասանաւք	բամբասանաւք	բամբասանք	N+Com
նմանել	նմանել	նմանեմ	V
կամիմ․	կամիմ	կամիմ	V
զի	զի	զի	I+Conj
գովութիւն	գովութիւն	գովութիւն	N+Com
սնափառութիւն	սնափառութիւն	սնափառութիւն	N+Com
գործէ,	գործէ	գործեմ	V
եւ	եւ	եւ	I+Conj
բամբասանքն	բամբասանքն	բամբասանք@ն	N+Com@PRO+Dem
խոցոտէ․	խոցոտէ	խոցոտեմ	V
եւ	եւ	եւ	I+Conj
ուր	ուր	ուր	I+Adv
սնափառութիւն	սնափառութիւն	սնափառութիւն	N+Com
եւ	եւ	եւ	I+Conj
ցաւ	ցաւ	ցաւ	N+Com
է,	է	եմ	V
անդ	անդ	անդ	I+Adv
է	է	եմ	V
ամենայն	ամենայն	ամենայն	PRO+Ind
անտեղութիւն։	անտեղութիւն	անտեղութիւն	N+Com
Ո՞վ	ով	ո՞	PRO+Int
զրկեցաւ	զրկեցաւ	զրկեմ	V
ի	ի	ի	I+Prep
ցանկութենէ	ցանկութենէ	ցանկութիւն	N+Com
եւ	եւ	եւ	I+Conj
կատարեաց	կատարեաց	կատարեմ	V
զկամս	զկամս	զ@կամ (կամաց)	I+Prep@N+Com
իւր,	իւր	իւր (իւրեանց)	PRO+Ref
եւ	եւ	եւ	I+Conj
եբեր	եբեր	բերեմ	V
նմա	նմա	նա (նա)	PRO+Dem
սնապարծութիւն։	սնապարծութիւն	սնապարծութիւն	N+Com
Պաւղոսի՛	պաւղոսի	Պաւղոս	N+Ant
է	է	եմ	V
յաղթելն	յաղթելն	յաղթեմ@ն	V@PRO+Dem
աջոյ	աջոյ	աջ	N+Com
եւ	եւ	եւ	I+Conj
ահեկեայ	ահեկեայ	ահեկեայ	A
զինուքն,	զինուքն	զէն@ն	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
ինձ	ինձ	ես	PRO+Per1s
այս	այս	այս (սա)	PRO+Dem
է	է	եմ	V
ասելն․	ասելն	ասեմ@ն	V@PRO+Dem
Նեխեցան	նեխեցան	նեխեմ	V
եւ	եւ	եւ	I+Conj
փտեցան	փտեցան	փտեմ	V
վէրք	վէրք	վէր	N+Com
իմ	իմ	ես	PRO+Per1s
յերեսաց	յերեսաց	ի@երես	I+Prep@N+Com
անզգամութեան	անզգամութեան	անզգամութիւն	N+Com
իմոյ,	իմոյ	իմ	PRO+Pos1s
եւ	եւ	եւ	I+Conj
այլ՝	այլ	այլ (եւ)	I+Conj
Աստուած	աստուած	աստուած	N+Com
քավեա՛	քավեա	քաւեմ	V
զանաւրէնութիւնս	զանաւրէնութիւնս	զ@անաւրէնութիւն@ս	I+Prep@N+Com@PRO+Dem
իմ,	իմ	ես	PRO+Per1s
զի	զի	զի	I+Conj
մեծացան։	մեծացան	մեծանամ	V
Եւ	եւ	եւ	I+Conj
զայս	զայս	զ@այս (սա)	I+Prep@PRO+Dem
ունիմ	ունիմ	ունիմ	V
ասել	ասել	ասեմ	V
քեզ,	քեզ	դու	PRO+Per2s
սրբուհի․	սրբուհի	սրբուհի	A
լե՛ր	լեր	լինիմ	V
ուսուցիչ	ուսուցիչ	ուսուցիչ	N+Com
քերց	քերց	քոյր	N+Com
եւ	եւ	եւ	I+Conj
դստերաց,	դստերաց	դուստր	N+Com
զի	զի	զի	I+Conj
մի՛	մի	մի (ոչ)	I+Neg
երթիցեն	երթիցեն	երթամ	V
յերկար	յերկար	ի@երկար	I+Prep@A
ճանապարհ,	ճանապարհ	ճանապարհ	N+Com
զի	զի	զի	I+Conj
աւտար	աւտար	աւտար	A
է	է	եմ	V
գործս	գործս	գործ@ս	N+Com@PRO+Dem
այս	այս	այս (սա)	PRO+Dem
անձին,	անձին	անձն	N+Com
որ	որ	որ	PRO+Rel
հեռանայ	հեռանայ	հեռանամ	V
յաշխարհէ	յաշխարհէ	ի@աշխարհ	I+Prep@N+Com
եւ	եւ	եւ	I+Conj
ջանայ	ջանայ	ջանամ	V
երթալ	երթալ	երթամ	V
ընդ	ընդ	ընդ	I+Prep
ճանապարհ	ճանապարհ	ճանապարհ	N+Com
առաքինութեան․	առաքինութեան	առաքինութիւն	N+Com
զի	զի	զի	I+Conj
ոչ	ոչ	ոչ	I+Neg
ի	ի	ի	I+Prep
գործոց	գործոց	գործ	N+Com
մեղաց	մեղաց	մեղ	N+Com
միայն	միայն	միայն	A
արժան	արժան	արժան	A
է	է	եմ	V
պատրաստել,	պատրաստել	պատրաստեմ	V
այլ	այլ	այլ (եւ)	I+Conj
եւ	եւ	եւ	I+Conj
մտաւք	մտաւք	միտ	N+Com
եւ	եւ	եւ	I+Conj
խորհրդովք,	խորհրդովք	խորհուրդ	N+Com
եւ	եւ	եւ	I+Conj
գործովք	գործովք	գործ	N+Com
մեղաց	մեղաց	մեղ	N+Com
Մովսիսի	մովսիսի	Մովսէս	N+Ant
է	է	եմ	V
