context = You are an expert in computational linguistics with a specialization in Syriac language processing. An academic has compiled a database of Syriac words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Syriac texts.
Objective (O):  Examine the provided Syriac content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Syriac language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
form	lemma	pos
ܘܒܐܝܢܐ	ܘـ@ܒـ@ܐܲܝܢܵܐ	PART@PART@PRO_int
ܥܡܠܐ	ܥܲܡܠܵܐ	NOUN
ܗܘܐ	ܗܘܵܐ	V1
ܦܘܪܩܢܗ	ܦܘܼܪܩܵܢܵܐ@ܗܝܼ	NOUN@PRO_pers
ܡܢ	ܡܸܢ	PART
ܪܕܘܦܐ	ܪܵܕܘ݁ܦܵܐ	NOUN
ܓܠܐ	ܓܠܵܐ	V1
ܡܚܘܬܗ	ܡܚܘܿܬܵܐ@ܗܘܼ	NOUN@PRO_pers
ܟܕ	ܟܲܕ	PART
ܚܝܪܝܢ	ܚܵܪ	V1
ܒܗ	ܒـ@ܗܘܼ	PART@PRO_pers
ܪܒܝ	ܪܲܒ݁ܵܐ	ADJ
ܚܝܠܐ	ܚܲܝܠܵܐ	NOUN
ܕܢܚܙܘܢ	ܕـ@ܚܙܵܐ	PART@V1
ܚܘܒܗ	ܚܘܼܒ݁ܵܐ@ܗܘܼ	NOUN@PRO_pers
ܕܟܡܐ	ܕـ@ܟܡܵܐ	PART@PRO_int
ܣܝܒܪ	ܣܲܝܒܲ݁ܪ	V13
ܡܢ	ܡܸܢ	PART
ܫܒܝܐ	ܫܲܒ݁ܵܝܵܐ	NOUN
ܫܠܡܐ	ܫܠܵܡܵܐ	NOUN
ܥܡܟܘܢ	ܥܲܡ@ܐܲܢ̄ܬ݁ܘܿܢ	PART@PRO_pers
ܦܘܩܘ	ܢܦܲܩ	V1
ܙܠܘ	ܐܸܙܲܠ	V1
ܐܟܪܙܘ	ܐܲܟܪܸܙ	V5
ܥܠ	ܥܲܠ 1	PART
ܙܟܘܬܐ	ܙܵܟܘܼܬܵܐ	NOUN
ܦܢܬ	ܦܢܵܐ	V1
ܠܗ	ܠـ@ܗܝܼ	PART@PRO_pers
ܫܒܝܬܐ	ܫܒܝܼܬܵܐ	NOUN
ܣܝܡܘ	ܣܵܡ	V1
ܐܦܝܟܘܢ	ܐܲܦܹ݁̈ܐ@ܐܲܢ̄ܬ݁ܘܿܢ	NOUN@PRO_pers
ܠܡܣܒܪܘ	ܠـ@ܣܲܒ݁ܲܪ 2	PART@V3
ܗܐ	ܗܵܐ	INTJ
ܡܚܘܬܐ	ܡܚܘܿܬܵܐ	NOUN
ܐܬܐ	ܐܵܬ݂ܵܐ	NOUN
ܕܩܐܪܣܐ	ܕـ@ܩܹܐܪܣܵܐ	PART@NOUN
ܕܟܡܐ	ܕـ@ܟܡܵܐ	PART@PRO_int
ܩܡܬ	ܩܵܡ	V1
ܘܕܦܪܩܬ	ܘـ@ܕـ@ܦܪܲܩ	PART@PART@V1
ܠܝ	ܠـ@ܐܸܢܵܐ	PART@PRO_pers
ܫܦܝܪ	ܫܲܦ݁ܝܼܪܵܐ	ADJ
ܒܠܥܬ	ܒܠܲܥ	V1
ܐܦܢ	ܐܵܦ@ܐܸܢ	PART@PART
ܚܫܬ	ܚܲܫ	V1
ܐܠܘ	ܐܸܠܘܼ	PART
ܒܠܥܬ	ܒܠܲܥ	V1
ܟܕ	ܟܲܕ	PART
ܠܐ	ܠܵܐ	PART
ܦܪܩܬ	ܦܪܲܩ	V1
ܓܘܢܝܐ	ܓܘ̣ܢܵܝܵܐ	NOUN
ܗܘܐ	ܗܘܵܐ	V1
ܘܗܫܐ	ܘـ@ܗܵܫܵܐ	PART@ADV
ܕܦܪܩܬ	ܕـ@ܦܪܲܩ	PART@V1
ܡܢ	ܡܸܢ	PART
ܡܚܘܬܐ	ܡܚܘܿܬܵܐ	NOUN
ܠܐ	ܠܵܐ	PART
ܢܟܦ	ܢܟܲܦ	V1
ܐܢܐ	ܐܸܢܵܐ	PRO_pers
ܩܐܪܣܐ	ܩܹܐܪܣܵܐ	NOUN
ܪܒܐ	ܪܲܒ݁ܵܐ	ADJ
ܦܓܥ	ܦܓܲܥ	V1
ܒܝ	ܒـ@ܐܸܢܵܐ	PART@PRO_pers
ܘܙܟܝܬ	ܘـ@ܙܟܵܐ	PART@V1
ܓܢܒܪܐܝܬ	ܓܲܢ̄ܒ݁ܵܪܵܐܝܼܬ	ADV
ܘܟܕ	ܘـ@ܟܲܕ	PART@PART
ܛܒ	ܛܵܒ	ADV
ܒܠܥܬ	ܒܠܲܥ	V1
ܡܢ	ܡܸܢ	PART
ܪܕܘܦܐ	ܪܵܕܘ݁ܦܵܐ	NOUN
ܫܒܝܬܐ	ܫܒܝܼܬܵܐ	NOUN
ܐܦܢܝܬ	ܐܲܦܢܝܼ	V5
ܦܘܩܘ	ܢܦܲܩ	V1
ܐܬܓܢܒܪܘ	ܐܸܬܓܲܢ̄ܒ݁ܲܪ	V30
ܥܠ	ܥܲܠ 1	PART
ܙܟܘܬܐ	ܙܵܟܘܼܬܵܐ	NOUN
ܒܥܠܡܐ	ܒـ@ܥܵܠܡܵܐ	PART@NOUN
ܟܠܗ	ܟܘܿܠ@ܗܘܼ	PRO_ind@PRO_pers
ܩܪܘ	ܩܪܵܐ 1	V1
ܠܫܒܝܬܐ	ܠـ@ܫܒܝܼܬܵܐ	PART@NOUN
ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܬܘܒ	ܬܘܼܒ	ADV
ܬܦܗܐ	ܦܗܵܐ	V1
ܒܝܬ	ܒܲܝܢܲܝ	PART
ܬܘܩܠܬܐ	ܬܘܼܩܠܬܵܐ	NOUN
ܐܠܒܫ	ܐܲܠܒܸܫ	V5
ܐܢܘܢ	ܐܸܢܘܿܢ	PRO_pers
ܙܝܢܐ	ܙܲܝܢܵܐ	NOUN
ܕܪܘܚܐ	ܕـ@ܪܘܼܚܵܐ	PART@NOUN
ܒܡܦܘܚܝܬܗ	ܒـ@ܡܲܦ݁ܘܼܚܝܼܬܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
ܕܡܢ	ܕـ@ܡܸܢ	PART@PART
ܟܠ	ܟܘܿܠ	PRO_ind
ܓܝܣܝܢ	ܓܲܝܣܵܐ	NOUN
ܕܒܥܠܕܐܪܐ	ܕـ@ܒܥܸܠܕܲܪܵܐ	PART@NOUN
ܠܐ	ܠܵܐ	PART
ܢܬܚܣܢܘܢ	ܐܸܬܚܣܸܢ	V2
ܚܕ	ܚܲܕ	CARD
ܡܢܗܘܢ	ܡܸܢ@ܗܸܢܘܿܢ	PART@PRO_pers
Note:
- Pay close attention to each word's context, as some may have multiple POS tags.
- All words in the input must be annotated without omission.
- Only use or combine tags from the provided tagset:
${HYE_tagset}
A form can also be a combination of multiple tokens and POS. For example:
ܕܐܡܗ combination of ܕـ and  ܐܸܡܵܐ and ܗܘܼ lemmata, and then combination of PART, NOUN and PRO_pers
In this case, we will identify the combination with a `@`:
Output: ܕܐܡܗ	ܕـ@ܐܸܡܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
Input text to process:
${HYE_test}
